"Data Source,""World Development Indicators"","

"Last Updated Date,""2026-02-24"","
"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025"","
"Viet Nam,""VNM"",""Foreign direct investment, net inflows (BoP, current US$)"",""BX.KLT.DINV.CD.WD"","""","""","""","""","""","""","""","""","""","""",""70000"",""1820000"",""-890000"",""1030000"",""1250000"",""4089999.9"",""-340000"",""-10000"",""463333.3"",""-60000"",""1666666.6"",""17910000"",""13050000"",""131111.1"",""690000"",""-80000"",""40000"",""10363703.7"",""7679999.9"",""4070000"",""180000000"",""375190280"",""473945860"",""926303710"",""1944515940"",""1780400000"",""2395000000"",""2220000000"",""1671000000"",""1412000000"",""1298000000"",""1300000000"",""1400000000"",""1450000000"",""1610000000"",""1954000000"",""2400000000"",""6700000000"",""9579000000"",""7600000000"",""8000000000"",""7430000000"",""8368000000"",""8900000000"",""9200000000"",""11800000000"",""12600000000"",""14100000000"",""15500000000"",""16120000000"",""15800000000"",""15660000000"",""17900000000"",""18500000000"",""20170000000"","""","
